node_index,node_label,n_voxel,node_source
1,Cerebellum - VisCent,2,Buckner2011
2,Cerebellum - VisPeri,31,Buckner2011
3,Cerebellum - SomMotA,533,Buckner2011
4,Cerebellum - SomMotB,262,Buckner2011
5,Cerebellum - DorsAttnA,21,Buckner2011
6,Cerebellum - DosAttnB,411,Buckner2011
7,Cerebellum - SalVentAttnA,978,Buckner2011
8,Cerebellum - SalVentAttnB,588,Buckner2011
9,Cerebellum - LimbicB,931,Buckner2011
10,Cerebellum - LimbicA,28,Buckner2011
11,Cerebellum - ContA,70,Buckner2011
12,Cerebellum - ContB,627,Buckner2011
13,Cerebellum - ContC,929,Buckner2011
14,Cerebellum - DefaultA,5,Buckner2011
15,Cerebellum - DefalutB,99,Buckner2011
16,Cerebellum - DefaultC,576,Buckner2011
17,Cerebellum - TempPar,658,Buckner2011
