node_index,node_label,n_voxel,node_source
1,17Networks_LH_VisCent_Striate_1,1655,Schaefer500
2,17Networks_LH_VisCent_Striate_2,2110,Schaefer500
3,17Networks_LH_VisCent_ExStr_1,2444,Schaefer500
4,17Networks_LH_VisCent_ExStr_2,2451,Schaefer500
5,17Networks_LH_VisCent_ExStr_3,2651,Schaefer500
6,17Networks_LH_VisCent_ExStr_4,3216,Schaefer500
7,17Networks_LH_VisCent_ExStr_5,2720,Schaefer500
8,17Networks_LH_VisCent_ExStr_6,4000,Schaefer500
9,17Networks_LH_VisCent_ExStr_7,2382,Schaefer500
10,17Networks_LH_VisCent_ExStr_8,2652,Schaefer500
11,17Networks_LH_VisCent_ExStr_9,4196,Schaefer500
12,17Networks_LH_VisCent_ExStr_10,2280,Schaefer500
13,17Networks_LH_VisCent_ExStr_11,3050,Schaefer500
14,17Networks_LH_VisCent_ExStr_12,2825,Schaefer500
15,17Networks_LH_VisCent_ExStr_13,1895,Schaefer500
16,17Networks_LH_VisPeri_StriCal_1,689,Schaefer500
17,17Networks_LH_VisPeri_StriCal_2,1081,Schaefer500
18,17Networks_LH_VisPeri_StriCal_3,2858,Schaefer500
19,17Networks_LH_VisPeri_StriCal_4,2152,Schaefer500
20,17Networks_LH_VisPeri_StriCal_5,2396,Schaefer500
21,17Networks_LH_VisPeri_ExStrInf_1,1333,Schaefer500
22,17Networks_LH_VisPeri_ExStrInf_2,2101,Schaefer500
23,17Networks_LH_VisPeri_ExStrInf_3,2082,Schaefer500
24,17Networks_LH_VisPeri_ExStrInf_4,1294,Schaefer500
25,17Networks_LH_VisPeri_ExStrInf_5,1149,Schaefer500
26,17Networks_LH_VisPeri_ExStrSup_1,2556,Schaefer500
27,17Networks_LH_VisPeri_ExStrSup_2,3122,Schaefer500
28,17Networks_LH_VisPeri_ExStrSup_3,2138,Schaefer500
29,17Networks_LH_VisPeri_ExStrSup_4,2441,Schaefer500
30,17Networks_LH_VisPeri_ExStrSup_5,1834,Schaefer500
31,17Networks_LH_SomMotA_1,554,Schaefer500
32,17Networks_LH_SomMotA_2,1662,Schaefer500
33,17Networks_LH_SomMotA_3,1005,Schaefer500
34,17Networks_LH_SomMotA_4,2237,Schaefer500
35,17Networks_LH_SomMotA_5,2650,Schaefer500
36,17Networks_LH_SomMotA_6,1063,Schaefer500
37,17Networks_LH_SomMotA_7,708,Schaefer500
38,17Networks_LH_SomMotA_8,3582,Schaefer500
39,17Networks_LH_SomMotA_9,2568,Schaefer500
40,17Networks_LH_SomMotA_10,2703,Schaefer500
41,17Networks_LH_SomMotA_11,1946,Schaefer500
42,17Networks_LH_SomMotA_12,2090,Schaefer500
43,17Networks_LH_SomMotA_13,2224,Schaefer500
44,17Networks_LH_SomMotA_14,2011,Schaefer500
45,17Networks_LH_SomMotA_15,1798,Schaefer500
46,17Networks_LH_SomMotA_16,1080,Schaefer500
47,17Networks_LH_SomMotA_17,1813,Schaefer500
48,17Networks_LH_SomMotA_18,1452,Schaefer500
49,17Networks_LH_SomMotA_19,1537,Schaefer500
50,17Networks_LH_SomMotA_20,894,Schaefer500
51,17Networks_LH_SomMotA_21,1162,Schaefer500
52,17Networks_LH_SomMotA_22,947,Schaefer500
53,17Networks_LH_SomMotA_23,692,Schaefer500
54,17Networks_LH_SomMotB_Cent_1,830,Schaefer500
55,17Networks_LH_SomMotB_Cent_2,1665,Schaefer500
56,17Networks_LH_SomMotB_Cent_3,1637,Schaefer500
57,17Networks_LH_SomMotB_Cent_4,1230,Schaefer500
58,17Networks_LH_SomMotB_Cent_5,1405,Schaefer500
59,17Networks_LH_SomMotB_Cent_6,2397,Schaefer500
60,17Networks_LH_SomMotB_Cent_7,820,Schaefer500
61,17Networks_LH_SomMotB_S2_1,1411,Schaefer500
62,17Networks_LH_SomMotB_S2_2,1352,Schaefer500
63,17Networks_LH_SomMotB_S2_3,1689,Schaefer500
64,17Networks_LH_SomMotB_S2_4,1933,Schaefer500
65,17Networks_LH_SomMotB_S2_5,1768,Schaefer500
66,17Networks_LH_SomMotB_S2_6,1142,Schaefer500
67,17Networks_LH_SomMotB_Ins_1,902,Schaefer500
68,17Networks_LH_SomMotB_Aud_1,3167,Schaefer500
69,17Networks_LH_SomMotB_Aud_2,1981,Schaefer500
70,17Networks_LH_SomMotB_Aud_3,1405,Schaefer500
71,17Networks_LH_SomMotB_Aud_4,2026,Schaefer500
72,17Networks_LH_SomMotB_Aud_5,1081,Schaefer500
73,17Networks_LH_SomMotB_Aud_6,1809,Schaefer500
74,17Networks_LH_SomMotB_Aud_7,1152,Schaefer500
75,17Networks_LH_DorsAttnA_TempOcc_1,2631,Schaefer500
76,17Networks_LH_DorsAttnA_TempOcc_2,4837,Schaefer500
77,17Networks_LH_DorsAttnA_TempOcc_3,3485,Schaefer500
78,17Networks_LH_DorsAttnA_ParOcc_1,2784,Schaefer500
79,17Networks_LH_DorsAttnA_ParOcc_2,2757,Schaefer500
80,17Networks_LH_DorsAttnA_ParOcc_3,1534,Schaefer500
81,17Networks_LH_DorsAttnA_SPL_1,1427,Schaefer500
82,17Networks_LH_DorsAttnA_SPL_2,1358,Schaefer500
83,17Networks_LH_DorsAttnA_SPL_3,1608,Schaefer500
84,17Networks_LH_DorsAttnA_SPL_4,2762,Schaefer500
85,17Networks_LH_DorsAttnA_SPL_5,1511,Schaefer500
86,17Networks_LH_DorsAttnA_SPL_6,1029,Schaefer500
87,17Networks_LH_DorsAttnA_SPL_7,1313,Schaefer500
88,17Networks_LH_DorsAttnA_SPL_8,1055,Schaefer500
89,17Networks_LH_DorsAttnB_TempOcc_1,3355,Schaefer500
90,17Networks_LH_DorsAttnB_PostC_1,2881,Schaefer500
91,17Networks_LH_DorsAttnB_PostC_2,1757,Schaefer500
92,17Networks_LH_DorsAttnB_PostC_3,2128,Schaefer500
93,17Networks_LH_DorsAttnB_PostC_4,1697,Schaefer500
94,17Networks_LH_DorsAttnB_PostC_5,1647,Schaefer500
95,17Networks_LH_DorsAttnB_PostC_6,2013,Schaefer500
96,17Networks_LH_DorsAttnB_PostC_7,2339,Schaefer500
97,17Networks_LH_DorsAttnB_PostC_8,1840,Schaefer500
98,17Networks_LH_DorsAttnB_FEF_1,2945,Schaefer500
99,17Networks_LH_DorsAttnB_FEF_2,2092,Schaefer500
100,17Networks_LH_DorsAttnB_FEF_3,2031,Schaefer500
101,17Networks_LH_SalVentAttnA_ParOper_1,1285,Schaefer500
102,17Networks_LH_SalVentAttnA_ParOper_2,2601,Schaefer500
103,17Networks_LH_SalVentAttnA_ParOper_3,1884,Schaefer500
104,17Networks_LH_SalVentAttnA_ParOper_4,1886,Schaefer500
105,17Networks_LH_SalVentAttnA_FrOper_1,1359,Schaefer500
106,17Networks_LH_SalVentAttnA_FrOper_2,2125,Schaefer500
107,17Networks_LH_SalVentAttnA_FrOper_3,2876,Schaefer500
108,17Networks_LH_SalVentAttnA_Ins_1,3650,Schaefer500
109,17Networks_LH_SalVentAttnA_Ins_2,1815,Schaefer500
110,17Networks_LH_SalVentAttnA_Ins_3,928,Schaefer500
111,17Networks_LH_SalVentAttnA_Ins_4,2049,Schaefer500
112,17Networks_LH_SalVentAttnA_ParMed_1,1167,Schaefer500
113,17Networks_LH_SalVentAttnA_ParMed_2,1108,Schaefer500
114,17Networks_LH_SalVentAttnA_ParMed_3,1233,Schaefer500
115,17Networks_LH_SalVentAttnA_ParMed_4,1227,Schaefer500
116,17Networks_LH_SalVentAttnA_ParMed_5,1966,Schaefer500
117,17Networks_LH_SalVentAttnA_FrMed_1,3098,Schaefer500
118,17Networks_LH_SalVentAttnA_FrMed_2,2501,Schaefer500
119,17Networks_LH_SalVentAttnA_FrMed_3,1752,Schaefer500
120,17Networks_LH_SalVentAttnA_FrMed_4,863,Schaefer500
121,17Networks_LH_SalVentAttnA_FrMed_5,1905,Schaefer500
122,17Networks_LH_SalVentAttnB_IPL_1,1449,Schaefer500
123,17Networks_LH_SalVentAttnB_PFCl_1,3553,Schaefer500
124,17Networks_LH_SalVentAttnB_PFCl_2,5139,Schaefer500
125,17Networks_LH_SalVentAttnB_PFCl_3,2848,Schaefer500
126,17Networks_LH_SalVentAttnB_Ins_1,1318,Schaefer500
127,17Networks_LH_SalVentAttnB_Ins_2,1496,Schaefer500
128,17Networks_LH_SalVentAttnB_Ins_3,1317,Schaefer500
129,17Networks_LH_SalVentAttnB_PFCmp_1,661,Schaefer500
130,17Networks_LH_SalVentAttnB_PFCmp_2,510,Schaefer500
131,17Networks_LH_SalVentAttnB_PFCmp_3,3112,Schaefer500
132,17Networks_LH_SalVentAttnB_PFCmp_4,1198,Schaefer500
133,17Networks_LH_LimbicB_OFC_1,2483,Schaefer500
134,17Networks_LH_LimbicB_OFC_2,4218,Schaefer500
135,17Networks_LH_LimbicB_OFC_3,2479,Schaefer500
