node_index,node_label,n_voxel,node_source
1,17Networks_LH_VisCent_Striate_1,84,Schaefer600
2,17Networks_LH_VisCent_Striate_2,50,Schaefer600
3,17Networks_LH_VisCent_Striate_3,52,Schaefer600
4,17Networks_LH_VisCent_ExStr_1,88,Schaefer600
5,17Networks_LH_VisCent_ExStr_2,66,Schaefer600
6,17Networks_LH_VisCent_ExStr_3,91,Schaefer600
7,17Networks_LH_VisCent_ExStr_4,100,Schaefer600
8,17Networks_LH_VisCent_ExStr_5,72,Schaefer600
9,17Networks_LH_VisCent_ExStr_6,119,Schaefer600
10,17Networks_LH_VisCent_ExStr_7,57,Schaefer600
11,17Networks_LH_VisCent_ExStr_8,150,Schaefer600
12,17Networks_LH_VisCent_ExStr_9,74,Schaefer600
13,17Networks_LH_VisCent_ExStr_10,80,Schaefer600
14,17Networks_LH_VisCent_ExStr_11,89,Schaefer600
15,17Networks_LH_VisCent_ExStr_12,79,Schaefer600
16,17Networks_LH_VisCent_ExStr_13,108,Schaefer600
17,17Networks_LH_VisCent_ExStr_14,59,Schaefer600
18,17Networks_LH_VisCent_ExStr_15,96,Schaefer600
19,17Networks_LH_VisCent_ExStr_16,60,Schaefer600
20,17Networks_LH_VisCent_ExStr_17,63,Schaefer600
21,17Networks_LH_VisPeri_StriCal_1,17,Schaefer600
22,17Networks_LH_VisPeri_StriCal_2,7,Schaefer600
23,17Networks_LH_VisPeri_StriCal_3,84,Schaefer600
24,17Networks_LH_VisPeri_StriCal_4,106,Schaefer600
25,17Networks_LH_VisPeri_StriCal_5,50,Schaefer600
26,17Networks_LH_VisPeri_ExStrInf_1,51,Schaefer600
27,17Networks_LH_VisPeri_ExStrInf_2,79,Schaefer600
28,17Networks_LH_VisPeri_ExStrInf_3,76,Schaefer600
29,17Networks_LH_VisPeri_ExStrInf_4,27,Schaefer600
30,17Networks_LH_VisPeri_ExStrInf_5,39,Schaefer600
31,17Networks_LH_VisPeri_ExStrSup_1,71,Schaefer600
32,17Networks_LH_VisPeri_ExStrSup_2,19,Schaefer600
33,17Networks_LH_VisPeri_ExStrSup_3,18,Schaefer600
34,17Networks_LH_VisPeri_ExStrSup_4,124,Schaefer600
35,17Networks_LH_VisPeri_ExStrSup_5,56,Schaefer600
36,17Networks_LH_VisPeri_ExStrSup_6,67,Schaefer600
37,17Networks_LH_VisPeri_ExStrSup_7,68,Schaefer600
38,17Networks_LH_SomMotA_1,25,Schaefer600
39,17Networks_LH_SomMotA_2,43,Schaefer600
