node_index,node_label,n_voxel,node_source
1,HIP-head-m-rh,40,TianScale3
2,HIP-head-l-rh,63,TianScale3
3,HIP-body-rh,60,TianScale3
4,HIP-tail-rh,29,TianScale3
5,THA-VPm-rh,27,TianScale3
6,THA-VPl-rh,31,TianScale3
7,THA-VAi-rh,110,TianScale3
8,THA-VAs-rh,70,TianScale3
9,THA-DAm-rh,54,TianScale3
10,THA-DAl-rh,48,TianScale3
11,PUT-VA-rh,60,TianScale3
12,PUT-DA-rh,68,TianScale3
13,PUT-VP-rh,67,TianScale3
14,PUT-DP-rh,76,TianScale3
15,CAU-VA-rh,35,TianScale3
16,CAU-DA-rh,55,TianScale3
17,CAU-body-rh,39,TianScale3
18,CAU-tail-rh,11,TianScale3
19,lAMY-rh,55,TianScale3
20,mAMY-rh,62,TianScale3
21,THA-DP-rh,59,TianScale3
22,NAc-shell-rh,33,TianScale3
23,NAc-core-rh,30,TianScale3
24,pGP-rh,24,TianScale3
25,aGP-rh,30,TianScale3
26,HIP-head-m-lh,32,TianScale3
27,HIP-head-l-lh,66,TianScale3
28,HIP-body-lh,59,TianScale3
29,HIP-tail-lh,29,TianScale3
30,THA-VPm-lh,28,TianScale3
31,THA-VPl-lh,36,TianScale3
32,THA-VAi-lh,116,TianScale3
33,THA-VAs-lh,76,TianScale3
34,THA-DAm-lh,53,TianScale3
35,THA-DAl-lh,42,TianScale3
36,PUT-VA-lh,67,TianScale3
37,PUT-DA-lh,65,TianScale3
38,PUT-VP-lh,81,TianScale3
39,PUT-DP-lh,72,TianScale3
40,CAU-VA-lh,43,TianScale3
41,CAU-DA-lh,49,TianScale3
42,CAU-body-lh,29,TianScale3
43,CAU-tail-lh,13,TianScale3
44,lAMY-lh,49,TianScale3
45,mAMY-lh,60,TianScale3
46,THA-DP-lh,64,TianScale3
47,NAc-shell-lh,40,TianScale3
48,NAc-core-lh,24,TianScale3
49,pGP-lh,26,TianScale3
50,aGP-lh,34,TianScale3
