node_index,node_label,n_voxel,node_source
1,HIP-head-m1-rh,756,TianScale4
2,HIP-head-m2-rh,371,TianScale4
3,THA-VAip-rh,1592,TianScale4
4,THA-VAia-rh,1112,TianScale4
5,HIP-head-l-rh,1840,TianScale4
6,HIP-body-rh,1584,TianScale4
7,HIP-tail-rh,848,TianScale4
8,THA-VPm-rh,704,TianScale4
9,THA-VPl-rh,784,TianScale4
10,THA-VAs-rh,1808,TianScale4
11,THA-DAm-rh,1376,TianScale4
12,THA-DAl-rh,1056,TianScale4
13,PUT-VA-rh,1914,TianScale4
14,PUT-DA-rh,1759,TianScale4
15,PUT-VP-rh,1960,TianScale4
16,PUT-DP-rh,2026,TianScale4
17,CAU-VA-rh,976,TianScale4
18,CAU-DA-rh,1324,TianScale4
19,CAU-body-rh,884,TianScale4
20,CAU-tail-rh,372,TianScale4
21,lAMY-rh,1284,TianScale4
22,mAMY-rh,1638,TianScale4
23,THA-DP-rh,1608,TianScale4
24,NAc-shell-rh,1124,TianScale4
25,NAc-core-rh,808,TianScale4
26,pGP-rh,720,TianScale4
27,aGP-rh,876,TianScale4
28,HIP-head-m1-lh,748,TianScale4
29,HIP-head-m2-lh,360,TianScale4
30,THA-VAip-lh,1670,TianScale4
31,THA-VAia-lh,1136,TianScale4
32,HIP-head-l-lh,1794,TianScale4
33,HIP-body-lh,1584,TianScale4
34,HIP-tail-lh,872,TianScale4
35,THA-VPm-lh,704,TianScale4
36,THA-VPl-lh,866,TianScale4
37,THA-VAs-lh,1940,TianScale4
38,THA-DAm-lh,1412,TianScale4
39,THA-DAl-lh,1170,TianScale4
40,PUT-VA-lh,1847,TianScale4
41,PUT-DA-lh,1760,TianScale4
42,PUT-VP-lh,1960,TianScale4
43,PUT-DP-lh,1984,TianScale4
44,CAU-VA-lh,1145,TianScale4
45,CAU-DA-lh,1349,TianScale4
46,CAU-body-lh,994,TianScale4
47,CAU-tail-lh,398,TianScale4
48,lAMY-lh,1370,TianScale4
49,mAMY-lh,1610,TianScale4
50,THA-DP-lh,1762,TianScale4
51,NAc-shell-lh,1234,TianScale4
52,NAc-core-lh,801,TianScale4
53,pGP-lh,720,TianScale4
54,aGP-lh,864,TianScale4
